record_id,domain,subdomain,problem_statement,keywords,affected_segment,geography,problem_reality_score,severity_score,frequency_score,willingness_to_pay_score,solution_coverage_score,solution_effectiveness_score,regulatory_feasibility_score,whitespace_score,successful_solution_examples,remaining_gap,source_id,source_url,observed_on,confidence,notes
problem-013,Education,Learning outcomes,Students spend substantial time and money without consistently achieving foundational learning or employable capability,learning|school|student|outcome|tutoring|education quality,Students and families,India,96,91,88,82,80,56,88,49,Schools;edtech;tutoring,Outcome measurement and personalised remediation remain uneven,mospi_education,https://www.mospi.gov.in/sites/default/files/national_data_bank/ndb-rpts.htm,2026-08-23,medium,Crowded market with real outcome gaps
problem-014,Education,Skills to employment,Young people struggle to translate education and training into verified skills credible experience and suitable employment,skills|job|employment|career|training|placement|youth,Students and job seekers,India,96,92,74,74,70,52,90,61,Job portals;training firms;apprenticeships,Skill verification and employer-linked pathways remain incomplete,plfs,https://mospi.gov.in/uploads/publications_reports/publications_reports1780040415321_0624fb13-fb47-40bc-b470-7c7e9635c3ef_PLFS_2025_F_REV_29052026.pdf,2026-08-23,high,Outcome evidence is more important than enrolment
problem-015,Agriculture,Market access,Small producers face weak price discovery fragmented buyers and high transaction costs when selling output,farmer|agriculture|market|buyer|price discovery|produce,Small farmers,India,95,90,72,70,62,54,64,66,Marketplaces;cooperatives;traders,Trust logistics and local density remain constraints,mospi_agriculture,https://www.mospi.gov.in/sites/default/files/national_data_bank/ndb-rpts.htm,2026-08-23,medium,Working capital and regulation affect feasibility
problem-016,Agriculture,Post-harvest loss,Perishable agricultural output loses value through inadequate storage handling transport and demand coordination,post harvest|cold chain|storage|farmer|perishable|logistics,Farmers and food businesses,India,94,91,66,80,58,50,72,72,Cold-chain firms;warehouses;marketplaces,Distributed affordable utilisation remains difficult,mospi_agriculture,https://www.mospi.gov.in/sites/default/files/national_data_bank/ndb-rpts.htm,2026-08-23,medium,Asset utilisation is a key economic risk
problem-017,Logistics,MSME freight reliability,Small firms struggle to obtain predictable transparent and trackable movement of goods across fragmented logistics providers,logistics|freight|transport|shipment|msme|tracking,MSMEs,India,92,82,76,86,76,66,90,48,Logistics aggregators;carriers;marketplaces,Claims service and non-metro reliability remain gaps,asuse,https://www.mospi.gov.in/press-release/press-release-reports-annual-survey-unincorporated-sector-enterprises-asuse,2026-08-23,medium,Distribution density determines economics
problem-018,Urban services,Waste recovery,Households businesses and cities struggle to segregate collect trace and economically recover material from waste,waste|recycling|segregation|collection|plastic|circular,Urban households and businesses,Urban India,94,88,94,62,48,42,70,76,Municipal systems;recyclers;waste startups,Traceable decentralised economics remain underdeveloped,data_gov,https://data.gov.in/,2026-08-23,medium,City contracts and unit economics are critical
problem-019,Urban services,Water reliability,Households and businesses face unreliable quality and availability of water with limited monitoring and accountability,water|supply|quality|leak|tanker|monitoring,Urban and peri-urban users,India,96,95,90,68,48,45,58,79,Utilities;tanker markets;monitoring firms,Affordable measurement and service accountability remain gaps,mospi_housing,https://www.mospi.gov.in/sites/default/files/national_data_bank/ndb-rpts.htm,2026-08-23,medium,Public infrastructure dependency is material
problem-020,Climate,Local adaptation,Households farms and businesses lack actionable local tools to prepare for heat flood water and other climate exposures,climate|flood|heat|risk|adaptation|weather,Households farms and MSMEs,India,94,94,62,58,40,38,72,80,Weather services;insurers;consultancies,Actionable asset-level adaptation remains limited,data_gov,https://data.gov.in/,2026-08-23,medium,Willingness to pay may depend on financing or insurance
problem-021,Energy,MSME efficiency,Small enterprises lack accessible measurement financing and implementation support to reduce energy cost and emissions,energy|electricity|efficiency|msme|solar|cost,MSMEs,India,90,76,72,82,54,50,78,69,ESCOs;solar firms;lenders,Small-ticket trusted implementation remains fragmented,mospi_energy,https://www.mospi.gov.in/,2026-08-23,medium,Savings verification is required
problem-022,Government services,Scheme discovery,Citizens and small firms struggle to discover determine eligibility for and complete applications for public schemes,government scheme|benefit|eligibility|application|citizen,Households and MSMEs,India,92,78,48,38,62,56,88,57,Government portals;assisted-service centres,Proactive multilingual guidance remains uneven,data_gov,https://data.gov.in/,2026-08-23,medium,Payment model and public integration require care
problem-023,Legal,Affordable legal navigation,Individuals and small businesses struggle to understand rights documents processes and affordable routes to resolution,legal|law|contract|dispute|rights|compliance,Individuals and MSMEs,India,92,87,46,70,48,46,68,72,Lawyers;legal platforms;mediation services,Early triage and affordable guided resolution remain gaps,data_gov,https://data.gov.in/,2026-08-23,low,Unauthorized practice and accuracy are gates
problem-024,Work,Gig worker resilience,Gig and informal workers face volatile income weak benefits limited protection and fragmented financial records,gig|worker|income|benefit|insurance|platform|informal,Gig and informal workers,India,94,88,86,48,42,44,66,69,Platforms;insurers;lenders,Portable benefits and trusted income smoothing remain gaps,plfs,https://mospi.gov.in/uploads/publications_reports/publications_reports1780040415321_0624fb13-fb47-40bc-b470-7c7e9635c3ef_PLFS_2025_F_REV_29052026.pdf,2026-08-23,high,Payer may not be the worker
problem-025,Care,Childcare reliability,Working families struggle to find trusted affordable flexible childcare with transparent quality and safety,childcare|daycare|parent|child|care|safety,Working families,Urban India,93,86,78,78,50,48,64,72,Day-care centres;domestic care;employer programmes,Quality transparency and flexible coverage remain gaps,mospi_social,https://www.mospi.gov.in/,2026-08-23,low,Local operations and safeguarding are decisive
problem-026,Accessibility,Disability inclusion,People with disabilities face inaccessible digital services transport workplaces education and assisted support,disability|accessibility|assistive|inclusive|mobility,People with disabilities,India,96,92,92,52,38,42,80,81,Assistive firms;NGOs;public schemes,Affordable mainstream accessibility remains underserved,data_gov,https://data.gov.in/,2026-08-23,medium,Payer and procurement routes require design
problem-027,Security,Women mobility safety,Women face safety reliability and accountability constraints in daily travel and public-space access,women|safety|transport|mobility|harassment|emergency,Women travellers,India,95,94,70,56,60,48,74,70,Transport apps;helplines;public systems,Prevention and trusted response remain incomplete,data_gov,https://data.gov.in/,2026-08-23,medium,Must avoid surveillance and exclusion harms
problem-028,Commerce,Small merchant digitisation,Small merchants need simple interoperable tools for inventory billing customer retention compliance and cash-flow visibility,merchant|kirana|inventory|billing|crm|accounting|msme,Small merchants,India,94,78,94,84,78,62,92,51,Accounting apps;commerce platforms;payment apps,Integrated low-friction workflows remain uneven,asuse,https://www.mospi.gov.in/press-release/press-release-reports-annual-survey-unincorporated-sector-enterprises-asuse,2026-08-23,medium,Crowded category with workflow-specific gaps
problem-029,B2B,Receivables collection,Indian SMEs lose liquidity and management time because business invoices are paid late and collections are fragmented,invoice|receivable|collection|b2b|payment|cash flow,SMEs,India,95,90,88,90,64,52,66,68,Banks;collection firms;invoice platforms,Relationship-safe automated collection remains imperfect,msme,https://msme.gov.in/,2026-08-23,medium,Legal and credit data dependencies apply
problem-030,Language,Vernacular digital access,Users with limited English proficiency face difficulty understanding and completing consequential digital tasks in their preferred language,vernacular|language|translation|voice|digital|access,Non-English-first users,India,96,82,94,62,68,55,90,62,Voice assistants;local-language apps;assisted services,High-accuracy domain guidance remains incomplete,data_gov,https://data.gov.in/,2026-08-23,medium,Accuracy and dialect coverage are key
